RSHP_AD_IdZone,RSHP_AD_IdParcel,RSHP_AD_IdPrecinct,RSHP_AD_IdPlot,RSHP_AD_IdSubplot,RSHP_AD_IdBuilding,RSHP_AD_IdRiverSide,RSHP_AD_IdPhase,RSHP_AD_IdAsset,RSHP_AD_IdType,RSHP_AD_Area,RSHP_AD_Level,RSHP_AD_ArBua,RSHP_AD_ArGfa,RSHP_AD_ArGla,RSHP_AD_PkParking,RSHP_AD_PpEmployee,RSHP_AD_PpResidents,RSHP_AD_PpVisitor,RSHP_AD_PpUnits
Zone 3,YH090,205,16,00,A,Northside,01,PLAZA,Generic,23241.65,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 4,YH090,703,01,00,A,Southside,01,PLAZA,Generic,8631.69,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 4,YH090,703,03,00,A,Southside,01,PLAZA,Generic,13125.76,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 5,YH090,704,02,00,A,Southside,01,LANDSCAPE,PARK,2441.36,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 5,YH090,704,03,00,A,Southside,01,LANDSCAPE,PARK,1291.80,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 5,YH090,704,04,00,A,Southside,01,LANDSCAPE,PARK,10915.63,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 5,YH090,704,14,00,A,Southside,01,LANDSCAPE,PARK,2146.91,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 5,YH090,704,11,00,A,Southside,01,LANDSCAPE,PARK,3084.16,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 5,YH090,704,15,00,A,Southside,01,LANDSCAPE,PARK,23951.43,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 4,YH090,703,04,00,A,Southside,01,PLAZA,Generic,10531.54,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 2,YH090,206,09,00,A,Northside,01,PLAZA,Generic,11277.35,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 2,YH090,206,08,00,A,Northside,01,PLAZA,Generic,9737.04,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 2,YH090,206,09,00,A,Northside,01,LANDSCAPE,PARK,5907.43,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 2,YH090,206,09,00,A,Northside,01,LANDSCAPE,GREEN,5703.59,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 2,YH090,206,08,00,A,Northside,01,LANDSCAPE,GREEN,6733.44,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 2,YH090,206,G1,00,A,Northside,01,LANDSCAPE,PARK,2549.03,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 5,YH090,704,03,00,A,Southside,01,LANDSCAPE,GREEN,2039.74,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 5,YH090,703,08,00,A,Southside,01,LANDSCAPE,GREEN,1614.96,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 5,YH090,703,08,00,A,Southside,01,LANDSCAPE,GREEN,737.08,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 5,YH090,703,09,00,A,Southside,01,LANDSCAPE,GREEN,2310.90,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 2,YH090,206,08,00,A,Northside,01,COMMERCIAL,OFFICE,7661.23,TT FFL_00 (+5.40),1,0.85,1,0.01,0.05,0,0.1,0
Zone 2,YH090,206,08,00,A,Northside,01,COMMERCIAL,OFFICE,7337.92,TT FFL_01,1,0.85,1,0.01,0.05,0,0.1,0
Zone 2,YH090,206,08,00,A,Northside,01,COMMERCIAL,OFFICE,7337.92,TT FFL_02,1,0.85,1,0.01,0.05,0,0.1,0
Zone 2,YH090,206,08,00,A,Northside,01,COMMERCIAL,OFFICE,7337.92,TT FFL_04,1,0.85,1,0.01,0.05,0,0.1,0
Zone 2,YH090,206,08,00,A,Northside,01,COMMERCIAL,OFFICE,4223.31,TT FFL_05,1,0.85,1,0.01,0.05,0,0.1,0
Zone 2,YH090,206,08,00,A,Northside,01,COMMERCIAL,OFFICE,4223.31,TT FFL_07,1,0.85,1,0.01,0.05,0,0.1,0
Zone 2,YH090,206,08,00,A,Northside,01,COMMERCIAL,OFFICE,4223.31,TT FFL_08,1,0.85,1,0.01,0.05,0,0.1,0
Zone 2,YH090,206,08,00,A,Northside,01,COMMERCIAL,OFFICE,4223.31,TT FFL_10,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,08,00,A,Southside,01,PARKING,Generic,8449.56,TT FFL_B1(+0.40),0,0,0,0,0,0,0,0
Zone 4,YH090,703,01,00,A,Southside,01,PARKING,Generic,4243.27,TT FFL_B1(+0.40),0,0,0,0,0,0,0,0
