,RSHP_AD_IdZone,RSHP_AD_IdParcel,RSHP_AD_IdPrecinct,RSHP_AD_IdPlot,RSHP_AD_IdSubplot,RSHP_AD_IdBuilding,RSHP_AD_IdRiverSide,RSHP_AD_IdPhase,RSHP_AD_IdAsset,RSHP_AD_IdType,RSHP_AD_Area,RSHP_AD_Level,RSHP_AD_ArBua,RSHP_AD_ArGfa,RSHP_AD_ArGla,RSHP_AD_PkParking,RSHP_AD_PpEmployee,RSHP_AD_PpResidents,RSHP_AD_PpVisitor,RSHP_AD_PpUnits,Envelope Material
106,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_24,1,0.85,1,0.01,0.05,0,0.1,0,undefined
107,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_25,1,0.85,1,0.01,0.05,0,0.1,0,undefined
108,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_26,1,0.85,1,0.01,0.05,0,0.1,0,undefined
109,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_27,1,0.85,1,0.01,0.05,0,0.1,0,undefined
110,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_28,1,0.85,1,0.01,0.05,0,0.1,0,undefined
111,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_29,1,0.85,1,0.01,0.05,0,0.1,0,undefined
112,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_30,1,0.85,1,0.01,0.05,0,0.1,0,undefined
113,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_31,1,0.85,1,0.01,0.05,0,0.1,0,undefined
114,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_32,1,0.85,1,0.01,0.05,0,0.1,0,undefined
115,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_33,1,0.85,1,0.01,0.05,0,0.1,0,undefined
116,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_34,1,0.85,1,0.01,0.05,0,0.1,0,undefined
117,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_35,1,0.85,1,0.01,0.05,0,0.1,0,undefined
118,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_36,1,0.85,1,0.01,0.05,0,0.1,0,undefined
119,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_37,1,0.85,1,0.01,0.05,0,0.1,0,undefined
120,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_38,1,0.85,1,0.01,0.05,0,0.1,0,undefined
121,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_39,1,0.85,1,0.01,0.05,0,0.1,0,undefined
122,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_40,1,0.85,1,0.01,0.05,0,0.1,0,undefined
