Project Name,Project Number,Project Type
HUARUN,10920,Masterplanning
Huawei Baicaoyuan Campus,12985,R & D
Hubei Supertower,12670,Mixed Use
Hudson Street NY,0351,Office
Huguenot House,12165,Residential
Huilai Road Luxury Residential Project,13205,Residential
Huimin 83,13265,
Hulley & Kirkwood,1965,
Human Resources - LLP,0114,Internal
Human Scale Remeasured,8000,
Humane Rescue Alliance,11450,R & D
Hungerford Car Park Site - Rug,2248,Transport
Hurley Robertson Associates,2109,Other
Hurlingham Wharf,12625,Mixed Use
Hutter Jennings Titchmarsh,1984,
Hyde Park Barracks,10530,Residential
Hypo Bank - Frankfurt,2200,Office
Hypo Bank - Munich,2090,Office
I-Shou Tower,5025,Civic
I-Shou University Library,5020,Education
Iberia Headquarters,6380,Office
Iikura - Tokyo,0508,Office
IJW Whiskey Distillery,13120,Mixed Use
Ile Seguin,12375,Office
Ilford - Unity Square,4120,Residential
Impact Capital Modular,50031,Modular Housing
Industrialised Housing,1530,Residential
Inland Revenue - Nottingham,1680,Office
Inmos Microprocessor Factory,0200,Industrial
INNO Home,50028,Modular Housing
INNO Marketing,11940,Residential
Innotech Interior Design,12620,Other
INSW - Infrastructure New South Wales,8000,
Intelligent Architecture,2330,Other
International Quarter London,10380,Masterplanning
International Spy Museum,10700,Cultural & Leisure
International Towers Barangaroo,11360,Office
Ionity EV Charging Stations,12995,Transport
IQL Building N21 - Stratford,11130,Office
IQL Building N22 - Stratford,11140,Office
IQL Building N23 - Stratford,11150,Office
IQL Building S3,11610,Office
IQL Masterplan - North,11200,Masterplanning
IRCAM,0012,R & D
ISS Support Services,8000,
IT,0102,Internal
It Department LLP,102,
JAC Scheme,4780,Residential
Jacob K Javits Convention Center,5140,Cultural & Leisure
Jaffe House,0013,Residential
Jamie Oliver Food Experience,6600,Mixed Use
"Jimbocho, Kanda",0514,Hotels &  Restaurants
Jingdong HQ,13025,Office
Jinhua City Cultural Centre,12965,Cultural & Leisure
JLD Lakeside East Precinct,13315,Masterplanning
JP Morgan Park Avenue HQ,11870,Office
